iter	RMSE
0	337711.2955
1	335112.7563
2	332753.1375
3	330641.2167
4	328691.0295
5	326953.4439
6	325351.3163
7	323856.6214
8	322518.0946
9	321321.7889
10	320193.3326
11	319205.9629
12	318218.0047
13	317222.0656
14	316325.9246
15	315506.3582
16	314787.7311
17	314121.9328
18	313521.8016
19	312991.4788
20	312495.7658
21	312022.9742
22	311618.0929
23	311257.3887
24	310914.8856
25	310590.7557
26	310292.4438
27	310065.9276
28	309857.8616
29	309661.0312
30	309468.1558
31	309303.7895
32	309164.7337
33	309014.3486
34	308886.6992
35	308769.111
36	308655.4372
37	308564.6034
38	308461.0952
39	308370.8192
40	308301.4331
41	308130.9386
42	307949.5104
43	307894.4783
44	307828.7155
45	307777.0978
46	307622.9182
47	307580.4549
48	307524.8936
49	307485.7156
50	307450.784
51	307290.957
52	307206.4994
53	307175.299
54	307153.1125
55	307118.2137
56	306904.4972
57	306832.576
58	306812.1834
59	306750.2238
60	306730.6031
61	306716.4723
62	306702.2261
63	306583.7282
64	306563.7322
65	306542.5689
66	306458.1883
67	306333.5568
68	306297.5671
69	306273.9161
70	306269.5035
71	306190.9149
72	306174.1742
73	306109.8186
74	306031.7687
75	306019.3449
76	305961.6301
77	305861.7442
78	305780.4432
79	305730.5671
80	305680.4719
81	305646.7735
82	305574.0986
83	305434.0635
84	305431.1871
85	305423.787
86	305357.8755
87	305243.8086
88	305158.1084
89	305036.9406
90	304821.475
91	304772.7011
92	304705.4997
93	304644.8111
94	304487.412
95	304476.2146
96	304422.9367
97	304389.8121
98	304317.4764
99	304168.7373
100	304160.8675
101	303900.9591
102	303811.451
103	303799.2937
104	303722.6845
105	303653.2064
106	303618.8279
107	303564.6186
108	303534.3894
109	303452.4775
110	303393.7356
111	303249.0566
112	303232.3003
113	303152.5464
114	303097.7209
115	303039.2083
116	303017.0258
117	302708.6706
118	302661.2795
119	302632.8245
120	302628.3971
121	302619.6225
122	302580.6114
123	302367.7463
124	302358.45
125	302297.8615
126	302294.0546
127	302293.1308
128	302144.2638
129	302104.974
130	302026.5866
131	302024.7127
132	301986.6552
133	301982.4935
134	301822.3026
135	301696.2527
136	301678.4376
137	301613.0599
138	301580.3926
139	301526.028
140	301140.9212
141	301112.3113
142	301036.0269
143	301023.5897
144	300842.8648
145	300840.2883
146	300788.5409
147	300739.6199
148	300598.7784
149	300518.2891
150	300381.9907
151	300346.9929
152	300104.506
153	300050.2185
154	300043.4003
155	299944.6903
156	299712.1566
157	299675.6946
158	299611.8115
159	299583.9905
160	299446.9455
161	299403.3609
162	299371.0158
163	299338.8511
164	299270.9856
165	299238.2407
166	299165.6156
167	299078.064
168	299018.2005
169	298997.2586
170	298969.5607
171	298908.3924
172	298906.0531
173	298821.1602
174	298792.6882
175	298767.6573
176	298715.4311
177	298648.5864
178	298594.6841
179	298525.6957
180	298496.8891
181	298371.4032
182	298303.1685
183	298293.625
184	298278.6994
185	298017.1006
186	297995.7247
187	297977.5195
188	297936.2408
189	297890.0063
190	297865.2258
191	297862.4895
192	297444.4281
193	297314.7481
194	297290.3237
195	297264.7523
196	297233.2423
197	297180.1459
198	297100.2242
199	297100.2242
200	297012.0347
201	296969.8516
202	296956.3083
203	296889.7607
204	296873.2597
205	296864.8405
206	296835.0639
207	296816.1783
208	296769.8393
209	296707.0315
210	296676.8732
211	296637.5818
212	296570.4295
213	296529.3841
214	296444.8252
215	296406.5691
216	296347.5006
217	296294.3107
218	296255.6786
219	296209.0737
220	296164.0894
221	296153.0173
222	296097.7357
223	296032.0862
224	295909.7296
225	295837.8628
226	295809.091
227	295776.838
228	295713.2947
229	295696.5318
230	295685.3765
231	295667.6888
232	295633.4052
233	295564.383
234	295519.2497
235	295452.0826
236	295277.8562
237	295259.2908
238	295224.8171
239	295040.7368
240	294847.9902
241	294762.9476
242	294721.1318
243	294674.4076
244	294619.3226
245	294588.8894
246	294530.5255
247	294484.9801
248	294412.6689
249	294333.0018
250	294229.0662
251	294045.0278
252	294015.0662
253	293983.6712
254	293918.7634
255	293847.3922
256	293819.3049
257	293788.2288
258	293763.1676
259	293708.657
260	293405.8666
261	293379.2597
262	293344.6436
263	293160.5848
264	293113.655
265	293029.7981
266	292970.5691
267	292938.9421
268	292915.166
