query,no,token,pos
전주 여행,1,25,SN
전주 여행,1,년,NNBC
전주 여행,1,10,SN
전주 여행,1,월,NNBC
전주 여행,1,5,SN
전주 여행,1,",",SC
전주 여행,1,6,SN
전주 여행,1,",",SC
전주 여행,1,7,SN
전주 여행,1,일,NNBC
전주 여행,1,전주,NNG
전주 여행,1,여행,NNG
전주 여행,1,전주,NNG
전주 여행,1,여행,NNG
전주 여행,1,가,VV
전주 여행,1,볼,EC+VX+ETM
전주 여행,1,만,NNB
전주 여행,1,한,XSA+ETM
전주 여행,1,곳,NNG
전주 여행,1,추천,NNG
전주 여행,1,부탁,NNG
전주 여행,1,드립니다,VV+EC
전주 여행,1,25,SN
전주 여행,1,년,NNBC
전주 여행,1,10,SN
전주 여행,1,월,NNBC
전주 여행,1,초,NNB
전주 여행,1,전주,NNG
전주 여행,1,여행,NNG
전주 여행,1,아이,NNG
전주 여행,1,들,XSN
전주 여행,1,과,JKB
전주 여행,1,함께,MAG
전주 여행,1,가,VV
전주 여행,1,기,ETN
전주 여행,1,좋,VA
전주 여행,1,은,ETM
전주 여행,1,시점,NNG
전주 여행,1,이,VCP
전주 여행,1,에요,EF
전주 여행,1,추석,NNG
전주 여행,1,에,JKB
전주 여행,1,는,JX
전주 여행,1,문,NNG
전주 여행,1,연,NNG
전주 여행,1,곳,NNG
전주 여행,1,이,JKS
전주 여행,1,적,VA
전주 여행,1,을,ETM
전주 여행,1,수,NNB
전주 여행,1,있,VV
전주 여행,1,지만,EC
전주 여행,1,전주,NNP
전주 여행,1,한옥마을,NNP
전주 여행,1,이나,JC
전주 여행,1,전주비빔밥,NNG
전주 여행,1,맛집,NNG
전주 여행,1,은,JX
전주 여행,1,추천,NNG
전주 여행,1,해용,NNG
전주 여행,1,차,NNG
전주 여행,1,는,JX
전주 여행,1,밀릴,VV+ETM
전주 여행,1,가능,NNG
전주 여행,1,성,XSN
전주 여행,1,이,JKS
전주 여행,1,높,VA
전주 여행,1,으니,EC
전주 여행,1,미리,MAG
전주 여행,1,출발,NNG
전주 여행,1,하,XSV
전주 여행,1,는,ETM
전주 여행,101,KTX,SL
전주 여행,101,로,JKB
전주 여행,101,떠나,VV
전주 여행,101,는,ETM
전주 여행,101,전주,NNG
전주 여행,101,여행,NNG
전주 여행,101,",",SC
전주 여행,101,주요,NNG
전주 여행,101,관광지,NNG
전주 여행,101,도보,NNP
전주 여행,101,이동,NNP
전주 여행,101,.,SF
전주 여행,101,..,SY
전주 여행,101,전주,NNG
전주 여행,101,여행,NNG
전주 여행,101,계획,NNG
전주 여행,101,중,NNB
전주 여행,101,이,VCP
전주 여행,101,시,EP
전주 여행,101,군요,EF
전주 여행,101,전,MM
전주 여행,101,주역,NNP
전주 여행,101,에서,JKB
전주 여행,101,한옥마을,NNP
전주 여행,101,까지,JX
전주 여행,101,는,JX
전주 여행,101,사실,MAG
전주 여행,101,도보,NNG
전주 여행,101,로,JKB
전주 여행,101,는,JX
전주 여행,101,좀,MAG
전주 여행,101,멀,VA
전주 여행,101,어요,EF
전주 여행,101,약,MM
전주 여행,101,3,SN
전주 여행,101,km,SL
전주 여행,101,정도,NNG
전주 여행,101,되,VV
전주 여행,101,고,EC
전주 여행,101,40,SN
전주 여행,101,분,NNBC
전주 여행,101,정도,NNG
전주 여행,101,걸립니다,VV+EF
전주 여행,101,그래서,MAJ
전주 여행,101,대부분,NNG
전주 여행,101,택시,NNG
전주 여행,101,나,JC
전주 여행,101,버스,NNG
전주 여행,101,를,JKO
전주 여행,101,이용,NNG
전주 여행,101,하,XSV
전주 여행,101,시,EP
전주 여행,101,는데,EC
전주 여행,101,택시,NNG
