iter	Passed	Remaining
0	146	146601
1	158	79000
2	164	54823
3	171	42689
4	177	35326
5	184	30507
6	192	27366
7	199	24723
8	206	22714
9	213	21098
10	223	20095
11	231	19020
12	237	18021
13	243	17128
14	249	16395
15	257	15851
16	264	15273
17	270	14744
18	276	14254
19	284	13921
20	291	13572
21	297	13226
22	303	12887
23	309	12576
24	317	12373
25	323	12137
26	330	11908
27	337	11701
28	345	11575
29	354	11471
30	361	11292
31	367	11122
32	373	10954
33	383	10904
34	390	10759
35	397	10632
36	403	10495
37	410	10387
38	420	10367
39	428	10278
40	435	10180
41	443	10119
42	452	10076
43	459	9985
44	466	9909
45	474	9845
46	483	9813
47	490	9737
48	498	9674
49	504	9594
50	519	9674
51	526	9592
52	533	9539
53	542	9511
54	552	9487
55	558	9422
56	567	9382
57	577	9374
58	585	9330
59	591	9265
60	599	9230
61	609	9220
62	618	9194
63	625	9144
64	631	9085
65	640	9066
66	648	9028
67	655	8985
68	662	8933
69	670	8908
70	678	8872
71	684	8825
72	690	8773
73	697	8722
74	706	8708
75	712	8664
76	719	8619
77	725	8571
78	731	8526
79	740	8519
80	746	8473
81	753	8437
82	760	8404
83	768	8380
84	776	8361
85	784	8339
86	791	8301
87	797	8267
88	806	8259
89	814	8234
90	821	8201
91	827	8162
92	836	8153
93	843	8131
94	850	8104
95	856	8065
96	863	8036
97	871	8024
98	878	7993
99	884	7958
100	890	7924
101	897	7898
102	905	7887
103	911	7856
104	918	7826
105	923	7792
106	934	7799
107	942	7784
108	950	7769
109	957	7749
110	967	7746
111	975	7734
112	983	7717
113	990	7701
114	1003	7726
115	1011	7708
116	1018	7685
117	1026	7670
118	1037	7678
119	1048	7687
120	1056	7675
121	1068	7690
122	1076	7679
123	1086	7675
124	1097	7680
125	1104	7664
126	1116	7673
127	1123	7653
128	1133	7650
129	1142	7645
130	1150	7630
131	1159	7622
132	1166	7602
133	1175	7596
134	1182	7576
135	1188	7553
136	1196	7536
137	1203	7516
138	1228	7607
139	1243	7636
140	1250	7616
141	1256	7593
142	1262	7568
143	1269	7546
144	1277	7534
145	1284	7510
146	1289	7485
147	1296	7464
148	1305	7458
149	1312	7437
150	1318	7416
151	1324	7391
152	1331	7370
153	1342	7374
154	1349	7355
155	1356	7338
156	1362	7317
157	1373	7321
158	1381	7307
159	1388	7289
160	1395	7271
161	1404	7267
162	1412	7254
163	1418	7232
164	1426	7219
165	1435	7211
166	1443	7199
167	1450	7183
168	1457	7168
169	1466	7159
170	1475	7150
171	1481	7130
172	1487	7113
173	1495	7101
174	1505	7097
175	1511	7078
176	1518	7058
177	1524	7040
178	1534	7036
179	1540	7017
180	1546	6997
181	1552	6977
182	1558	6958
183	1568	6953
184	1574	6935
185	1580	6917
186	1586	6899
187	1594	6887
188	1604	6884
189	1612	6874
190	1618	6857
191	1626	6843
192	1634	6833
193	1641	6817
194	1647	6801
195	1653	6784
196	1664	6783
197	1671	6768
198	1681	6770
199	1687	6751
200	1698	6751
201	1704	6733
202	1710	6716
203	1717	6703
204	1726	6696
205	1734	6686
206	1741	6669
207	1747	6655
208	1755	6644
209	1764	6638
210	1771	6625
211	1778	6610
212	1785	6597
213	1795	6595
214	1803	6586
215	1810	6570
216	1817	6559
217	1827	6557
218	1836	6549
219	1842	6533
220	1849	6520
221	1859	6516
222	1866	6503
223	1872	6488
224	1878	6471
225	1886	6461
226	1894	6451
227	1900	6436
228	1906	6420
229	1912	6404
230	1921	6395
231	1927	6381
232	1933	6366
233	1940	6350
234	1945	6334
235	1954	6328
236	1961	6314
237	1967	6299
238	1973	6284
239	1979	6268
240	1988	6262
241	1995	6249
242	2001	6236
243	2007	6221
244	2014	6206
245	2023	6201
246	2030	6190
247	2037	6178
248	2043	6164
249	2051	6154
250	2059	6145
251	2065	6132
252	2072	6117
253	2078	6103
254	2087	6099
255	2094	6085
256	2100	6072
257	2106	6059
258	2114	6050
259	2122	6040
260	2128	6028
261	2134	6013
262	2140	5999
263	2150	5994
264	2156	5982
265	2163	5971
266	2169	5956
267	2176	5944
268	2185	5938
269	2192	5926
270	2198	5913
271	2204	5899
272	2210	5885
273	2219	5880
274	2226	5869
275	2233	5857
276	2239	5844
277	2247	5837
278	2253	5824
279	2259	5811
280	2265	5797
281	2272	5784
282	2282	5782
283	2310	5825
284	2318	5817
285	2324	5803
286	2330	5790
287	2336	5776
288	2345	5769
289	2351	5757
290	2357	5744
291	2363	5731
292	2369	5717
293	2378	5710
294	2384	5699
295	2391	5688
296	2398	5676
297	2404	5664
298	2413	5658
299	2419	5646
300	2427	5636
301	2433	5624
302	2442	5618
303	2449	5607
304	2455	5596
305	2461	5583
306	2468	5571
307	2477	5565
308	2483	5553
309	2489	5540
310	2495	5528
311	2501	5516
312	2510	5509
313	2516	5498
314	2523	5486
315	2529	5474
316	2536	5466
317	2544	5457
318	2550	5445
319	2556	5433
320	2562	5421
321	2571	5413
322	2578	5404
323	2585	5393
324	2590	5381
325	2597	5369
326	2606	5363
327	2612	5352
328	2618	5341
329	2625	5331
330	2634	5325
331	2642	5315
332	2648	5304
333	2654	5293
334	2660	5281
335	2669	5274
336	2675	5264
337	2682	5254
338	2689	5244
339	2697	5236
340	2706	5230
341	2713	5220
342	2720	5210
343	2726	5199
344	2736	5194
345	2744	5187
346	2750	5176
347	2757	5166
348	2766	5160
349	2774	5152
350	2781	5142
351	2788	5133
352	2797	5128
353	2806	5121
354	2813	5111
355	2820	5101
356	2829	5096
357	2838	5090
358	2845	5080
359	2852	5071
360	2860	5064
361	2867	5054
362	2874	5044
363	2880	5033
364	2887	5022
365	2896	5017
366	2903	5007
367	2909	4997
368	2916	4986
369	2923	4977
370	2932	4972
371	2940	4963
372	2946	4953
373	2952	4942
374	2961	4936
375	2969	4927
376	2975	4917
377	2981	4906
378	2988	4897
379	2998	4891
380	3005	4882
381	3011	4872
382	3017	4861
383	3028	4858
384	3036	4850
385	3044	4842
386	3050	4832
387	3061	4828
388	3068	4820
389	3074	4809
390	3082	4801
391	3092	4795
392	3099	4787
393	3105	4777
394	3113	4768
395	3120	4759
396	3131	4756
397	3138	4746
398	3145	4737
399	3152	4728
400	3162	4724
401	3170	4716
402	3176	4706
403	3183	4696
404	3192	4689
405	3198	4679
406	3204	4669
407	3210	4658
408	3219	4651
409	3225	4641
410	3232	4631
411	3238	4622
412	3245	4612
413	3254	4606
414	3261	4596
415	3267	4587
416	3273	4576
417	3279	4566
418	3288	4560
419	3294	4549
420	3301	4539
421	3306	4529
422	3313	4519
423	3324	4516
424	3332	4509
425	3339	4499
426	3346	4491
427	3356	4486
428	3364	4477
429	3370	4468
430	3376	4458
431	3386	4453
432	3395	4445
433	3401	4436
434	3408	4426
435	3418	4422
436	3426	4414
437	3432	4404
438	3440	4396
439	3449	4390
440	3456	4381
441	3463	4372
442	3470	4363
443	3479	4357
444	3486	4348
445	3493	4339
446	3499	4329
447	3505	4319
448	3514	4313
449	3521	4303
450	3527	4294
451	3533	4284
452	3539	4274
453	3549	4268
454	3555	4258
455	3561	4249
456	3568	4239
457	3576	4232
458	3585	4225
459	3593	4218
460	3600	4209
461	3610	4204
462	3617	4195
463	3624	4187
464	3631	4178
465	3639	4170
466	3648	4164
467	3654	4154
468	3661	4145
469	3669	4138
470	3678	4131
471	3685	4123
472	3692	4113
473	3698	4104
474	3709	4099
475	3717	4092
476	3724	4083
477	3731	4074
478	3740	4068
479	3748	4060
480	3754	4051
481	3760	4041
482	3768	4033
483	3776	4025
484	3782	4016
485	3789	4007
486	3795	3997
487	3802	3989
488	3811	3982
489	3817	3973
490	3823	3963
491	3829	3953
492	3839	3948
493	3846	3939
494	3853	3931
495	3859	3922
496	3870	3916
497	3878	3909
498	3885	3901
499	3892	3892
500	3899	3883
501	3909	3878
502	3916	3869
503	3923	3861
504	3929	3852
505	3940	3846
506	3949	3839
507	3956	3831
508	3964	3824
509	3972	3816
510	3979	3808
511	3985	3799
512	3993	3791
513	4002	3784
514	4009	3776
515	4015	3766
516	4021	3757
517	4029	3749
518	4036	3740
519	4042	3731
520	4048	3721
521	4054	3713
522	4063	3705
523	4070	3697
524	4076	3688
525	4082	3678
526	4088	3669
527	4098	3663
528	4104	3654
529	4111	3646
530	4118	3637
531	4125	3629
532	4134	3622
533	4142	3614
534	4149	3606
535	4155	3597
536	4164	3590
537	4172	3583
538	4179	3574
539	4185	3565
540	4193	3558
541	4201	3550
542	4207	3541
543	4215	3533
544	4223	3526
545	4231	3518
546	4237	3509
547	4243	3500
548	4250	3491
549	4259	3484
550	4266	3477
551	4273	3468
552	4280	3459
553	4289	3453
554	4297	3445
555	4303	3436
556	4309	3427
557	4315	3418
558	4324	3411
559	4330	3402
560	4336	3393
561	4342	3384
562	4348	3375
563	4358	3369
564	4365	3360
565	4371	3352
566	4377	3342
567	4386	3336
568	4394	3328
569	4401	3320
570	4408	3312
571	4414	3303
572	4425	3297
573	4431	3289
574	4438	3280
575	4444	3271
576	4453	3264
577	4460	3256
578	4466	3247
579	4473	3239
580	4480	3231
581	4495	3228
582	4501	3219
583	4508	3211
584	4515	3203
585	4524	3196
586	4531	3187
587	4537	3179
588	4544	3171
589	4553	3164
590	4560	3156
591	4567	3147
592	4573	3138
593	4581	3131
594	4587	3122
595	4594	3114
596	4600	3105
597	4606	3096
598	4614	3089
599	4620	3080
600	4627	3072
601	4633	3063
602	4639	3054
603	4648	3047
604	4654	3039
605	4660	3030
606	4667	3021
607	4673	3013
608	4683	3006
609	4690	2999
610	4697	2990
611	4703	2982
612	4711	2974
613	4720	2967
614	4728	2960
615	4735	2951
616	4744	2944
617	4752	2937
618	4758	2929
619	4765	2921
620	4772	2912
621	4781	2905
622	4787	2897
623	4793	2888
624	4800	2880
625	4809	2873
626	4816	2865
627	4823	2857
628	4830	2848
629	4838	2841
630	4845	2833
631	4852	2825
632	4858	2816
633	4864	2808
634	4874	2801
635	4881	2793
636	4888	2785
637	4895	2777
638	4903	2770
639	4910	2762
640	4917	2754
641	4923	2745
642	4930	2737
643	4939	2730
644	4946	2722
645	4952	2714
646	4958	2705
647	4965	2697
648	4974	2690
649	4980	2681
650	4986	2673
651	4993	2665
652	5001	2657
653	5008	2649
654	5014	2641
655	5020	2632
656	5026	2624
657	5036	2617
658	5042	2609
659	5048	2600
660	5055	2592
661	5061	2584
662	5071	2577
663	5078	2570
664	5085	2562
665	5092	2553
666	5100	2546
667	5107	2538
