iter	Passed	Remaining
0	193	96709
1	224	55931
2	259	42940
3	290	35991
4	323	31988
5	355	29285
6	389	27444
7	426	26216
8	460	25148
9	495	24262
10	527	23466
11	560	22802
12	599	22450
13	629	21864
14	658	21304
15	685	20725
16	711	20225
17	740	19836
18	771	19526
19	798	19158
20	833	19003
21	862	18746
22	897	18612
23	928	18409
24	955	18161
25	987	18005
26	1015	17784
27	1042	17572
28	1071	17409
29	1102	17273
30	1129	17090
31	1149	16809
32	1182	16731
33	1214	16649
34	1239	16470
35	1269	16360
36	1302	16302
37	1332	16201
38	1364	16131
39	1400	16100
40	1435	16066
41	1465	15985
42	1503	15976
43	1539	15955
44	1569	15865
45	1601	15810
46	1632	15737
47	1663	15662
48	1697	15619
49	1727	15548
50	1755	15453
51	1793	15454
52	1829	15431
53	1863	15391
54	1892	15315
55	1925	15264
56	1956	15205
57	1990	15171
58	2023	15128
59	2058	15097
60	2085	15010
61	2118	14969
62	2148	14906
63	2180	14853
64	2215	14830
65	2256	14837
66	2286	14775
67	2324	14765
68	2361	14753
69	2400	14746
70	2424	14651
71	2458	14612
72	2492	14576
73	2525	14540
74	2559	14506
75	2596	14485
76	2631	14458
77	2661	14401
78	2696	14372
79	2734	14357
80	2768	14322
81	2810	14325
82	2843	14284
83	2874	14234
84	2904	14182
85	2938	14144
86	2968	14093
87	3001	14051
88	3044	14061
89	3076	14013
90	3106	13963
91	3143	13942
92	3183	13932
93	3223	13922
94	3254	13873
95	3294	13865
96	3331	13839
97	3378	13856
98	3410	13814
99	3444	13779
100	3482	13758
101	3519	13732
102	3549	13682
103	3589	13668
104	3626	13644
105	3658	13598
106	3691	13559
107	3731	13545
108	3769	13520
109	3807	13500
110	3843	13470
111	3878	13435
112	3912	13399
113	3946	13362
114	3977	13317
115	4016	13294
116	4046	13245
117	4080	13211
118	4122	13198
119	4162	13181
120	4194	13137
121	4234	13120
122	4264	13071
123	4295	13024
124	4325	12975
125	4355	12928
126	4387	12885
127	4407	12808
128	4440	12771
129	4478	12745
130	4504	12689
131	4535	12643
132	4568	12605
133	4603	12572
134	4638	12540
135	4673	12507
136	4708	12475
137	4743	12442
138	4773	12396
139	4811	12373
140	4845	12337
141	4880	12303
142	4914	12268
143	4951	12240
144	4986	12207
145	5014	12159
146	5048	12122
147	5079	12080
148	5118	12058
149	5154	12027
150	5189	11995
151	5222	11956
152	5253	11915
153	5283	11871
154	5324	11851
155	5355	11810
156	5392	11780
157	5422	11737
158	5453	11695
159	5487	11659
160	5521	11625
161	5556	11593
162	5587	11552
163	5625	11526
164	5659	11490
165	5702	11473
166	5733	11431
167	5767	11397
168	5794	11348
169	5837	11330
170	5863	11280
171	5897	11245
172	5933	11214
173	5968	11183
174	6002	11146
175	6033	11107
176	6062	11063
177	6099	11034
178	6134	11000
179	6169	10967
180	6205	10937
181	6238	10900
182	6272	10866
183	6299	10818
184	6332	10782
185	6364	10744
186	6399	10711
187	6437	10683
188	6473	10652
189	6506	10616
190	6536	10574
191	6568	10537
192	6598	10496
193	6634	10464
194	6667	10428
195	6703	10397
196	6734	10358
197	6768	10324
198	6799	10284
199	6808	10212
200	6832	10163
201	6862	10124
202	6901	10097
203	6936	10064
204	6976	10039
205	7010	10005
206	7047	9975
207	7074	9931
208	7111	9901
209	7150	9873
210	7178	9832
211	7210	9795
212	7247	9765
213	7277	9725
214	7313	9694
215	7336	9645
216	7366	9607
217	7396	9568
218	7430	9534
219	7466	9503
220	7497	9464
221	7542	9444
222	7576	9410
223	7611	9377
224	7645	9344
225	7680	9312
226	7717	9281
227	7745	9240
228	7778	9205
229	7815	9174
230	7847	9138
231	7876	9099
232	7907	9061
233	7943	9029
234	7977	8995
235	8010	8961
236	8043	8925
237	8076	8890
238	8107	8854
239	8139	8817
240	8171	8782
241	8213	8756
242	8244	8719
243	8275	8682
244	8310	8649
245	8344	8615
246	8367	8571
247	8397	8533
248	8430	8498
249	8465	8465
250	8500	8433
251	8533	8398
252	8559	8356
253	8597	8326
254	8632	8293
255	8670	8263
256	8701	8227
257	8732	8190
258	8758	8150
259	8799	8122
260	8840	8095
261	8867	8055
262	8903	8022
263	8935	7988
264	8966	7951
265	8996	7914
266	9030	7880
267	9067	7849
268	9100	7815
269	9131	7778
270	9167	7746
271	9194	7707
272	9226	7671
273	9253	7632
274	9280	7593
275	9315	7560
276	9345	7523
277	9380	7490
278	9415	7457
279	9455	7429
280	9486	7393
281	9520	7359
282	9546	7320
283	9572	7280
284	9607	7247
285	9636	7210
286	9673	7178
287	9699	7139
288	9734	7106
289	9764	7071
290	9797	7036
291	9832	7003
292	9866	6970
293	9901	6937
294	9937	6905
295	9964	6867
296	9994	6831
297	10029	6798
298	10054	6758
299	10088	6725
300	10117	6688
301	10149	6654
302	10184	6621
303	10210	6582
304	10237	6545
305	10272	6512
306	10299	6475
307	10345	6449
308	10373	6411
309	10414	6382
310	10450	6351
311	10484	6317
312	10519	6284
313	10548	6248
314	10574	6210
315	10601	6172
316	10632	6137
317	10664	6103
318	10700	6071
319	10723	6032
320	10754	5997
321	10780	5959
322	10804	5920
323	10842	5889
324	10874	5855
325	10898	5817
326	10926	5780
327	10950	5742
328	10984	5709
329	11007	5670
330	11036	5635
331	11060	5596
332	11094	5563
333	11132	5533
334	11158	5495
335	11183	5458
336	11220	5427
337	11250	5392
338	11281	5357
339	11311	5322
340	11338	5287
341	11369	5252
342	11402	5219
343	11432	5184
344	11462	5149
345	11488	5113
346	11519	5079
347	11558	5048
348	11591	5015
349	11628	4983
350	11655	4947
351	11676	4909
352	11707	4875
353	11737	4840
354	11771	4807
355	11794	4770
356	11829	4738
357	11856	4702
358	11882	4667
359	11922	4636
360	11952	4602
361	11976	4565
362	12010	4532
363	12039	4498
364	12069	4464
365	12103	4431
366	12140	4399
367	12167	4364
368	12196	4330
369	12224	4295
370	12249	4259
371	12278	4224
372	12302	4188
373	12326	4152
374	12359	4119
375	12382	4083
376	12408	4048
377	12434	4013
378	12464	3979
379	12494	3945
380	12529	3913
381	12557	3879
382	12584	3844
383	12621	3812
384	12658	3781
385	12692	3748
386	12723	3715
387	12751	3680
388	12775	3645
389	12810	3613
390	12844	3580
391	12874	3547
392	12902	3512
393	12929	3478
394	12960	3445
395	12983	3409
396	13020	3378
397	13045	3343
398	13069	3308
399	13092	3273
400	13126	3240
401	13158	3207
402	13187	3174
403	13217	3140
404	13245	3106
405	13268	3071
406	13294	3037
407	13321	3003
408	13360	2972
409	13391	2939
410	13414	2904
411	13445	2871
412	13471	2837
413	13506	2805
414	13537	2772
415	13568	2739
416	13604	2707
417	13635	2674
418	13669	2642
419	13700	2609
420	13736	2577
421	13762	2543
422	13788	2510
423	13823	2477
424	13840	2442
425	13877	2410
426	13910	2378
427	13941	2345
428	13971	2312
429	14002	2279
430	14040	2247
431	14068	2214
432	14094	2180
433	14123	2147
434	14158	2115
435	14184	2082
436	14208	2048
437	14238	2015
438	14268	1982
439	14291	1948
440	14320	1915
441	14355	1883
442	14390	1851
443	14416	1818
444	14449	1785
445	14483	1753
446	14513	1720
447	14546	1688
448	14583	1656
449	14610	1623
450	14636	1590
451	14659	1556
452	14688	1523
453	14711	1490
454	14745	1458
455	14776	1425
456	14807	1393
457	14841	1361
458	14872	1328
459	14899	1295
460	14925	1262
461	14949	1229
462	14981	1197
463	15012	1164
464	15039	1132
465	15074	1099
466	15108	1067
467	15147	1035
468	15187	1003
469	15215	971
470	15243	938
471	15272	906
472	15307	873
473	15330	840
474	15362	808
475	15396	776
476	15424	743
477	15447	710
478	15471	678
479	15505	646
480	15528	613
481	15555	580
482	15582	548
483	15619	516
484	15643	483
485	15675	451
486	15705	419
487	15729	386
488	15766	354
489	15799	322
490	15830	290
491	15864	257
492	15898	225
493	15928	193
494	15961	161
495	15990	128
496	16027	96
497	16056	64
498	16086	32
499	16129	0
